Date,Fear Greed,Put Call,VIX
2011-01-03,68.0,0.4,17.610001
2011-01-04,68.0,0.43,17.379999
2011-01-05,67.0,0.48,17.02
2011-01-06,64.0,0.46,17.4
2011-01-07,63.0,0.5,17.139999
2011-01-10,58.0,0.54,17.540001
2011-01-11,58.0,0.53,16.889999
2011-01-12,58.0,0.45,16.24
2011-01-13,58.0,0.5,16.389999
2011-01-14,60.0,0.37,15.46
2011-01-18,56.0,0.44,15.87
2011-01-19,55.0,0.47,17.309999
2011-01-20,54.0,0.67,17.99
2011-01-21,47.0,0.55,18.469999
2011-01-24,45.0,0.51,17.65
2011-01-25,43.0,0.63,17.59
2011-01-26,43.0,0.58,16.639999
2011-01-27,43.0,0.56,16.15
2011-01-28,43.0,0.65,20.040001
2011-01-31,41.0,0.61,19.530001
2011-02-01,41.0,0.49,17.629999
2011-02-02,46.0,0.45,17.299999
2011-02-03,47.0,0.58,16.690001
2011-02-04,49.0,0.64,15.93
2011-02-07,56.0,0.46,16.280001
2011-02-08,56.0,0.52,15.81
2011-02-09,56.0,0.52,15.87
2011-02-10,56.0,0.55,16.09
2011-02-11,56.0,0.51,15.69
2011-02-14,61.0,0.51,15.95
2011-02-15,61.0,0.53,16.370001
2011-02-16,61.0,0.58,16.719999
2011-02-17,61.0,0.5,16.59
2011-02-18,56.0,0.61,16.43
2011-02-22,42.0,0.68,20.799999
2011-02-23,42.0,0.72,22.129999
2011-02-24,42.0,0.71,21.32
2011-02-25,42.0,0.49,19.219999
2011-02-28,43.0,0.53,18.35
2011-03-01,43.0,0.64,21.01
2011-03-02,42.0,0.55,20.700001
2011-03-03,41.0,0.55,18.6
2011-03-04,39.0,0.57,19.059999
2011-03-07,35.0,0.64,20.66
2011-03-08,27.0,0.54,19.82
2011-03-09,26.0,0.6,20.219999
2011-03-10,26.0,0.73,21.879999
2011-03-11,26.0,0.62,20.08
2011-03-14,13.0,0.67,21.129999
2011-03-15,13.0,0.71,24.32
2011-03-16,11.0,0.79,29.4
2011-03-17,9.0,0.71,26.370001
2011-03-18,9.0,0.67,24.440001
2011-03-21,14.0,0.49,20.610001
2011-03-22,15.0,0.55,20.209999
2011-03-23,16.0,0.59,19.17
2011-03-24,16.0,0.55,18.0
2011-03-25,19.0,0.53,17.91
2011-03-28,23.0,0.56,19.440001
2011-03-29,23.0,0.52,18.16
2011-03-30,24.0,0.54,17.709999
2011-03-31,24.0,0.56,17.74
2011-04-01,27.0,0.51,17.4
2011-04-04,31.0,0.59,17.5
2011-04-05,35.0,0.56,17.25
2011-04-06,37.0,0.55,16.9
2011-04-07,37.0,0.53,17.110001
2011-04-08,37.0,0.58,17.870001
2011-04-11,34.0,0.62,16.59
2011-04-12,33.0,0.58,17.09
2011-04-13,33.0,0.65,16.92
2011-04-14,30.0,0.69,16.27
2011-04-15,28.0,0.63,15.32
2011-04-18,24.0,0.6,16.959999
2011-04-19,24.0,0.64,15.83
2011-04-20,25.0,0.51,15.07
2011-04-21,30.0,0.62,14.69
2011-04-25,35.0,0.57,15.77
2011-04-26,36.0,0.57,15.62
2011-04-27,37.0,0.59,15.35
2011-04-28,37.0,0.54,14.62
2011-04-29,41.0,0.59,14.75
2011-05-02,36.0,0.5,15.99
2011-05-03,31.0,0.61,16.700001
