Date,Open,High,Low,Close,Adj Close,Volume,Fear Greed,Put Call,VIX
2014-01-02,74.91000366210938,75.29000091552734,74.51000213623047,74.56999969482422,63.25496292114258,3067000,71.0,0.56,14.23
2014-01-03,74.80000305175781,75.76000213623047,74.5999984741211,75.0999984741211,63.704532623291016,3206400,66.0,0.54,13.76
2014-01-06,75.41999816894531,75.41999816894531,74.12000274658203,74.23999786376953,62.975040435791016,3424500,64.0,0.52,13.55
2014-01-07,74.94000244140625,77.33000183105469,74.94000244140625,76.51000213623047,64.90059661865234,6542500,67.0,0.47,12.92
2014-01-08,76.33000183105469,76.45999908447266,75.4800033569336,75.62000274658203,64.14562225341797,6172200,64.0,0.5,12.87
2014-01-09,75.6500015258789,76.23999786376953,75.6500015258789,76.08000183105469,64.53583526611328,6291500,68.0,0.55,12.89
2014-01-10,76.19999694824219,76.30000305175781,74.55000305175781,74.69999694824219,63.3652458190918,6632200,66.0,0.53,12.14
2014-01-13,74.66999816894531,75.0,73.68000030517578,73.94000244140625,62.72057723999024,5248700,61.0,0.61,13.28
2014-01-14,74.05000305175781,74.33999633789062,73.69000244140625,74.0199966430664,62.788421630859375,5783900,68.0,0.52,12.28
2014-01-15,73.98999786376953,74.86000061035156,73.98999786376953,74.83999633789062,63.483985900878906,7043300,65.0,0.48,12.28
2014-01-16,74.12999725341797,74.83999633789062,72.1500015258789,72.76000213623047,61.71961212158203,8892800,63.0,0.57,12.53
2014-01-17,73.12000274658203,73.12000274658203,72.30000305175781,72.5199966430664,61.51602935791016,5551300,59.0,0.53,12.44
2014-01-21,72.72000122070312,73.62000274658203,72.41000366210938,73.16000366210938,62.05892181396485,6379300,62.0,0.57,12.87
2014-01-22,73.83000183105469,73.93000030517578,73.23999786376953,73.4000015258789,62.26251602172852,4864700,45.0,0.52,12.84
2014-01-23,72.69999694824219,73.69000244140625,72.48999786376953,73.19999694824219,62.09284591674805,5050300,46.0,0.65,13.77
2014-01-24,72.83000183105469,72.91999816894531,71.37999725341797,71.5999984741211,60.7356071472168,5523600,27.0,0.69,18.139999
2014-01-27,71.30999755859375,72.19999694824219,71.13999938964844,71.6500015258789,60.77804183959961,4233600,25.0,0.53,17.42
2014-01-28,71.6500015258789,72.36000061035156,71.47000122070312,71.70999908447266,60.82892227172852,2932700,29.0,0.53,15.8
2014-01-29,71.38999938964844,72.95999908447266,70.83999633789062,71.26000213623047,60.447227478027344,6005100,20.0,0.62,17.35
2014-01-30,71.69999694824219,73.04000091552734,71.52999877929688,72.80000305175781,61.75352096557617,4254000,18.0,0.54,17.290001
2014-01-31,71.87000274658203,72.3499984741211,71.44999694824219,72.27999877929688,61.312442779541016,4291500,20.0,0.66,18.41
2014-02-03,72.13999938964844,72.20999908447266,70.63999938964844,70.73999786376953,60.006107330322266,4526100,13.0,0.61,21.440001
2014-02-04,70.80000305175781,71.0,69.80000305175781,70.51000213623047,59.81100463867188,4646100,15.0,0.6,19.110001
2014-02-05,69.94000244140625,71.19999694824219,69.83000183105469,70.81999969482422,60.07396697998047,4394300,20.0,0.62,19.950001
2014-02-06,70.7699966430664,71.05999755859375,70.08999633789062,70.87000274658203,60.11637115478516,4765600,17.0,0.61,17.23
2014-02-07,70.5,71.6500015258789,70.11000061035156,71.36000061035156,60.53203582763672,6902900,22.0,0.68,15.29
2014-02-10,70.91000366210938,71.06999969482422,69.56999969482422,69.73999786376953,59.15786743164063,7774000,28.0,0.71,15.26
2014-02-11,69.76000213623047,70.87000274658203,69.58000183105469,70.62000274658203,59.9043083190918,5543000,29.0,0.55,14.51
2014-02-12,70.91000366210938,71.30000305175781,69.9800033569336,70.23999786376953,59.58197784423828,4120600,32.0,0.64,14.3
2014-02-13,70.12999725341797,71.4800033569336,69.93000030517578,71.20999908447266,60.40478515625,3788000,32.0,0.57,14.14
2014-02-14,71.16000366210938,73.83999633789062,71.0,73.5199966430664,62.36427688598633,6848800,30.0,0.57,13.57
2014-02-18,73.5199966430664,74.62000274658203,73.44999694824219,73.83000183105469,62.62726211547852,5538400,42.0,0.61,13.87
2014-02-19,73.55000305175781,74.30999755859375,73.41999816894531,73.55000305175781,62.389739990234375,3926500,39.0,0.55,15.5
2014-02-20,73.5999984741211,74.11000061035156,73.2300033569336,73.4800033569336,62.330379486083984,4134000,45.0,0.58,14.79
2014-02-21,73.43000030517578,74.0999984741211,73.33999633789062,73.80999755859375,62.61028289794922,4552300,48.0,0.55,14.68
2014-02-24,74.13999938964844,76.7699966430664,74.0,76.01000213623047,64.4764633178711,9559000,55.0,0.55,14.23
2014-02-25,75.9800033569336,76.13999938964844,75.12999725341797,75.31999969482422,63.891151428222656,3761800,57.0,0.57,13.67
